farm_id,crop_type,county,irrigation_type,cooperative_member,farm_size_acres,years_farming_experience,num_workers_employed,rainfall_mm,soil_quality_score,market_distance_km,machinery_value_kes,fertilizer_spend_kes,pesticide_spend_kes,irrigation_maintenance_cost_kes,annual_farm_income_kes
197,Maize,Kericho,Manual,No,9.0,5.2,3,919.0,85.1300581266923,10.3,50802.0,36958.0,10512.0,2782.668493022607,158491.0
198,Tea,Kiambu,Manual,Yes,4.46,16.7,0,999.0,58.85095709972376,9.2,60520.0,15026.0,7138.0,585.1274885072346,160298.0
199,Horticulture,Other,Manual,Yes,10.97,3.6,4,733.0,65.39625826276807,6.4,82782.0,33050.0,25107.0,5482.957070253365,126019.0
200,Horticulture,Other,None,Yes,8.35,31.2,5,946.0,69.37249284173134,17.9,107340.0,39806.0,6229.0,,331536.0
201,Coffee,Kericho,Manual,Yes,2.48,15.3,0,1257.0,,17.4,50481.0,5934.0,2925.0,2696.8805036195004,280745.0
202,Horticulture,Meru,Automated,No,15.33,16.3,3,795.0,80.99463712000647,6.0,128779.0,38748.0,26104.0,14237.915352314196,365381.0
203,Tea,Uasin Gishu,Automated,No,5.22,13.3,1,770.0,54.79756021269608,11.2,61834.0,18550.0,8393.0,2404.1113669424367,374437.0
204,Maize,Other,None,No,4.76,17.5,1,797.0,66.08807927020344,21.1,31207.0,8584.0,9578.0,,145353.0
205,Coffee,Meru,None,No,2.18,11.9,1,702.0,56.55949745873355,16.5,0.0,8890.0,2263.0,,149208.0
206,Dairy,Nakuru,None,Yes,3.53,8.0,2,1202.0,40.71694802186981,14.1,44354.0,10054.0,9392.0,,163931.0
207,Maize,Nakuru,None,No,17.04,33.9,6,1025.0,,7.3,120700.0,59749.0,23032.0,,314186.0
208,Tea,Kiambu,Automated,Yes,5.0,10.4,1,990.0,27.047954840428154,34.8,16954.0,5860.0,1423.0,4109.042421840993,281127.0
209,Maize,Meru,Manual,Yes,7.23,5.5,3,1089.0,91.81186915629084,8.2,99324.0,14397.0,10717.0,6692.599531915517,200900.0
210,Dairy,Nakuru,Drip,No,2.91,15.3,1,1116.0,100.0,7.9,17823.0,10237.0,4684.0,12040.00494978513,376738.0
211,Maize,Uasin Gishu,None,Yes,3.07,15.4,0,764.0,55.13573025323058,38.7,23946.0,7388.0,4462.0,,182303.0
212,Horticulture,Kericho,Drip,No,8.19,5.6,2,993.0,58.559173448008835,6.3,28132.0,18381.0,10954.0,11833.777516649496,257345.0
213,Dairy,Kericho,Drip,No,1.97,11.8,1,1058.0,60.32241612303182,2.4,4623.0,6469.0,1392.0,1001.3920523662033,177599.0
214,Maize,Kiambu,Drip,No,5.88,19.5,3,1000.0,62.849225343581146,12.3,41747.0,19751.0,7774.0,27892.57188008071,294673.0
215,Coffee,Nakuru,Automated,No,1.49,6.2,0,837.0,79.02143924763558,10.8,0.0,3190.0,1811.0,2939.5231376094976,254763.0
216,Horticulture,Uasin Gishu,Automated,No,4.58,8.5,1,580.0,71.17591020237361,18.3,28636.0,19852.0,8083.0,2847.025608755573,240050.0
217,Tea,Other,Manual,No,0.64,17.4,2,696.0,52.963080693310246,11.5,0.0,1896.0,615.0,6920.282998968735,168289.0
218,Horticulture,Meru,Drip,No,11.51,12.5,4,612.0,48.771702643617104,10.3,123166.0,27852.0,19415.0,3780.3273226251513,411607.0
219,Horticulture,Other,None,No,22.02,4.8,7,1247.0,65.73593434788462,16.0,240541.0,42007.0,3406.0,,183184.0
220,Dairy,Other,Drip,Yes,10.04,6.3,4,721.0,50.70091078855036,15.7,78695.0,30142.0,11850.0,1825.3273853199664,197739.0
221,Horticulture,Other,Drip,No,17.8,16.3,5,1140.0,55.18241957746702,2.0,193218.0,56161.0,16081.0,9881.638004961289,441414.0
222,Tea,Nakuru,Drip,Yes,3.69,3.6,1,1364.0,53.830082040219786,13.4,38931.0,13721.0,3943.0,5440.864457815313,181716.0
223,Horticulture,Kiambu,None,Yes,10.47,12.0,4,958.0,35.01012466412159,11.7,77926.0,25514.0,15966.0,,171823.0
224,Maize,Kiambu,Manual,No,9.81,4.1,2,917.0,58.50015245882055,8.3,56457.0,36335.0,19163.0,6504.594348273709,134700.0
225,Maize,Kericho,Drip,Yes,10.68,15.1,3,693.0,53.67845591104866,11.0,131284.0,20238.0,10996.0,5353.902940928923,387583.0
226,Maize,Other,None,Yes,18.77,5.1,5,1186.0,69.873092016668,17.5,174441.0,89144.0,22589.0,,219608.0
227,Dairy,Nakuru,None,Yes,6.18,7.5,2,330.0,54.30502944376633,16.4,39312.0,13018.0,9437.0,,140223.0
228,Tea,Nakuru,None,No,14.25,19.8,5,856.0,61.36281395783157,21.3,73635.0,42750.0,25461.0,,268939.0
229,Dairy,Uasin Gishu,Manual,Yes,9.44,13.3,2,1111.0,43.375534258598435,5.4,70120.0,22240.0,11786.0,13914.877862511856,148084.0
230,Horticulture,Other,None,Yes,4.01,4.1,0,1075.0,63.9615342860127,6.2,52961.0,6495.0,4269.0,,116417.0
231,Dairy,Kiambu,Drip,Yes,1.47,5.4,0,587.0,59.11742850997184,1.6,12415.0,4203.0,1662.0,14642.09679904257,129305.0
232,Horticulture,Uasin Gishu,None,Yes,3.72,10.2,0,1026.0,75.71521715340666,18.1,51738.0,10057.0,4517.0,,221940.0
233,Tea,Other,Manual,Yes,21.67,17.8,5,1026.0,77.7300715076059,34.2,220793.0,91648.0,41957.0,9849.509474860492,192578.0
234,Maize,Nakuru,Manual,Yes,2.42,20.4,1,722.0,60.64911230921758,23.9,0.0,6585.0,1539.0,500.0,218873.0
235,Horticulture,Kiambu,None,Yes,10.9,10.2,3,515.0,78.303148947213,11.6,101034.0,34485.0,24287.0,,1198216.0
236,Tea,Other,Manual,Yes,1.56,15.1,0,1035.0,91.22146681659167,8.9,19143.0,5350.0,1988.0,1844.9270747019762,241908.0
237,Horticulture,Meru,None,No,20.2,8.1,5,1085.0,35.19488069042769,3.5,208402.0,67816.0,14281.0,,182352.0
238,Coffee,Nakuru,None,No,4.04,10.1,1,826.0,61.12539096699624,12.8,30308.0,13394.0,8085.0,,164497.0
239,Horticulture,Nakuru,Drip,No,7.72,45.0,1,960.0,90.46559337460937,34.7,23246.0,21743.0,5816.0,14424.853990749076,1147735.0
240,Maize,Kiambu,Automated,No,13.46,10.1,3,823.0,72.75750028887828,6.8,89006.0,29325.0,22419.0,2254.5834306930574,196833.0
241,Horticulture,Kiambu,None,No,2.06,8.7,0,733.0,65.21606821775464,2.6,303.0,8483.0,3214.0,,198303.0
242,Maize,Kericho,Drip,No,5.37,23.8,0,980.0,45.24072120811072,37.2,17047.0,26187.0,3946.0,20391.603394794478,334731.0
243,Dairy,Meru,Drip,Yes,15.94,21.5,3,1025.0,67.71058279845938,1.5,194634.0,24568.0,20942.0,6349.274338100986,436444.0
244,Maize,Kiambu,None,No,6.34,17.4,4,650.0,43.76272736750859,7.2,56167.0,16795.0,4472.0,,130780.0
245,Tea,Meru,None,No,5.53,9.1,0,742.0,71.22646418036945,24.2,61781.0,16708.0,1743.0,,187985.0
246,Maize,Kiambu,None,Yes,0.76,16.0,0,1097.0,44.124212735176826,19.7,5359.0,2184.0,708.0,,159097.0
247,Dairy,Other,Drip,No,11.44,6.2,4,1072.0,46.65291428965512,12.0,109409.0,38813.0,19388.0,2459.570645482764,241293.0
248,Tea,Nakuru,Automated,No,11.49,1.1,4,855.0,77.41767607307855,28.6,24369.0,29754.0,18422.0,13481.391368382756,249776.0
249,Tea,Uasin Gishu,Manual,No,5.79,10.5,2,696.0,85.19881191079351,4.7,9754.0,25522.0,7927.0,12038.084871048139,269237.0
250,Coffee,Kiambu,None,No,2.91,5.0,0,573.0,71.46433939147826,8.7,31083.0,9926.0,4312.0,,118737.0
251,Horticulture,Kiambu,None,Yes,7.58,36.2,0,1200.0,55.26273974454779,17.9,47631.0,27227.0,12864.0,,483816.0
252,Horticulture,Kericho,Automated,No,12.14,13.1,4,1199.0,56.89032395720802,21.5,81998.0,40329.0,7663.0,11913.854922127186,567739.0
253,Maize,Kiambu,None,Yes,2.29,7.1,1,883.0,57.405731929974884,24.9,28897.0,4216.0,1340.0,,70538.0
254,Tea,Meru,Drip,No,4.89,11.0,0,929.0,67.40080783983068,13.0,2606.0,23076.0,5483.0,16269.659158664948,201083.0
255,Dairy,Nakuru,None,Yes,5.69,6.0,3,943.0,38.25518827969128,20.5,36072.0,17882.0,10250.0,,135957.0
256,Maize,Nakuru,Drip,No,14.89,21.8,4,996.0,56.572439830128765,1.0,126343.0,28498.0,21569.0,6163.2022913105975,347037.0
257,Tea,Kiambu,Manual,Yes,28.49,9.5,9,1231.0,36.122704337464455,8.7,202019.0,60732.0,46223.0,15138.47238213466,262624.0
258,Dairy,Kericho,Automated,Yes,2.1,15.8,0,768.0,79.51839322600927,47.8,16410.0,5105.0,2610.0,10030.817138447701,491017.0
259,Coffee,Uasin Gishu,Manual,Yes,3.89,3.9,2,699.0,61.30003465081831,4.7,43823.0,13994.0,3955.0,5700.602086854129,134829.0
260,Tea,Other,Manual,No,9.78,12.5,4,781.0,72.72216025522552,14.9,68992.0,33501.0,14221.0,4990.199767923753,205223.0
261,Tea,Kiambu,Automated,Yes,3.87,11.6,0,946.0,75.7433181846309,13.2,32955.0,12518.0,6034.0,4698.633767708724,358283.0
262,Maize,Nakuru,None,No,2.59,3.5,0,1093.0,50.4102071697298,10.0,44419.0,6957.0,2969.0,,110664.0
263,Maize,Kericho,None,No,9.41,5.2,0,836.0,71.46460444854192,16.1,105489.0,41585.0,14845.0,,131051.0
264,Dairy,Kericho,None,No,19.89,10.2,4,911.0,92.1161802108096,24.7,217476.0,39780.0,39995.0,,132087.0
265,Coffee,Kiambu,Drip,Yes,3.04,14.1,0,1097.0,,11.1,3227.0,5851.0,4899.0,3736.5492089081577,276649.0
266,Maize,Kiambu,Manual,Yes,5.98,5.2,0,965.0,53.497076017599305,19.1,62746.0,27505.0,5722.0,2514.510987183911,134475.0
267,Tea,Other,Manual,No,2.75,10.6,1,865.0,68.28179666343709,29.8,30116.0,9300.0,3611.0,1731.1794431128876,175120.0
268,Maize,Kiambu,Manual,Yes,19.22,40.6,5,877.0,74.64771298637037,4.6,163669.0,73635.0,21026.0,19197.594073196837,624814.0
269,Maize,Other,Automated,Yes,13.45,12.1,5,560.0,95.14671301123906,19.6,74387.0,60524.0,15206.0,3954.705698481625,196968.0
270,Dairy,Other,Drip,No,13.4,15.1,5,766.0,64.67046600088045,6.8,110348.0,33722.0,14228.0,11953.529855025363,343831.0
271,Tea,Kiambu,None,No,5.33,11.1,1,597.0,60.412507110364736,16.4,18815.0,26341.0,7125.0,,167140.0
272,Dairy,Nakuru,Drip,No,19.24,13.6,5,522.0,45.51945832696167,25.4,191374.0,56840.0,20981.0,18877.878349100356,95743.0
273,Tea,Nakuru,Manual,No,10.54,41.2,1,724.0,37.33605422065747,48.6,35742.0,40925.0,17900.0,8381.612225602428,446440.0
274,Dairy,Kericho,None,Yes,4.28,13.2,1,899.0,,10.3,31160.0,9718.0,5353.0,,162877.0
275,Coffee,Other,Manual,No,14.74,5.4,3,1112.0,49.15293524351078,8.7,185116.0,29471.0,12690.0,5576.980142615403,202898.0
276,Tea,Other,Manual,Yes,2.2,16.6,2,1005.0,84.18941571835434,25.9,0.0,7052.0,2489.0,7793.827679812736,260580.0
277,Tea,Other,Automated,Yes,15.23,11.2,3,1053.0,72.50580405178233,17.8,98402.0,50971.0,25256.0,23962.532247078238,268216.0
278,Tea,Kiambu,None,Yes,5.77,6.9,1,1099.0,75.43489199920613,31.4,58104.0,20539.0,12209.0,,274150.0
279,Coffee,Other,Manual,No,17.39,7.2,4,1021.0,32.12743032337495,15.7,205181.0,45097.0,33422.0,26023.856347820256,109334.0
280,Maize,Kericho,None,Yes,8.02,7.3,2,905.0,37.61405235691531,21.6,119673.0,28721.0,10446.0,,131133.0
281,Tea,Meru,Manual,No,1.99,17.0,0,857.0,62.101675688809706,8.7,12985.0,6131.0,3414.0,6549.611868280395,212909.0
282,Maize,Kericho,None,Yes,16.05,7.7,3,575.0,42.89724241909383,21.7,152409.0,50316.0,17080.0,,106815.0
283,Horticulture,Nakuru,None,Yes,5.19,6.2,1,1160.0,72.59035859027786,14.3,51446.0,23837.0,8835.0,,222596.0
284,Tea,Meru,Automated,No,13.68,3.9,4,1162.0,,15.4,105246.0,37517.0,36609.0,8301.219744036975,237270.0
285,Horticulture,Meru,None,No,10.71,8.3,3,470.0,83.13328161463436,16.0,88531.0,34138.0,10723.0,,185867.0
286,Maize,Nakuru,None,No,9.27,28.8,2,1337.0,61.90495067712715,4.9,103434.0,50417.0,14302.0,,268751.0
287,Horticulture,Other,Automated,Yes,3.08,19.7,2,1125.0,71.84425344886618,19.7,11802.0,4835.0,4703.0,3359.9088779020117,423679.0
288,Dairy,Other,None,No,21.27,3.8,6,881.0,66.79115403584478,6.4,259998.0,57450.0,48772.0,,83135.0
289,Dairy,Uasin Gishu,None,No,11.35,9.3,3,810.0,93.03622242237233,6.3,78480.0,41209.0,25871.0,,275308.0
290,Dairy,Kericho,None,Yes,13.65,4.2,4,799.0,96.07470434111082,24.2,52410.0,30995.0,8674.0,,136953.0
291,Maize,Nakuru,Drip,No,5.91,1.0,0,738.0,,19.1,75434.0,15407.0,7687.0,9308.580361847738,174293.0
292,Horticulture,Kericho,Drip,No,4.87,43.5,3,1024.0,56.101521316205336,14.7,50817.0,17211.0,2842.0,4155.786485418368,579636.0
293,Maize,Kericho,Manual,Yes,5.43,2.7,1,1126.0,40.36677510238184,5.6,90048.0,14330.0,7965.0,8236.167389570717,162298.0
294,Maize,Uasin Gishu,None,Yes,1.55,40.2,2,1165.0,43.91487421349373,13.6,0.0,2353.0,1969.0,,892927.0
295,Maize,Nakuru,Drip,No,0.56,3.8,0,1169.0,48.19030269705001,15.8,25443.0,2621.0,199.0,4641.229851299095,220747.0
296,Tea,Uasin Gishu,Manual,No,4.42,17.6,0,1176.0,77.44659147257741,22.6,9527.0,12055.0,10055.0,789.4775689284916,166135.0
297,Coffee,Meru,None,Yes,2.92,9.8,2,1303.0,54.616776375578,15.6,27032.0,9818.0,4852.0,,218770.0
298,Maize,Kericho,None,Yes,11.35,12.5,3,1428.0,,8.8,112373.0,37389.0,23312.0,,203463.0
299,Dairy,Other,None,No,4.83,3.1,1,1022.0,64.40122618411692,8.8,44789.0,14957.0,8510.0,,82428.0
300,Coffee,Kiambu,Drip,Yes,2.94,4.4,1,734.0,77.20389740404572,9.9,0.0,10617.0,4719.0,1447.5294261924325,221349.0
301,Horticulture,Kericho,Drip,Yes,4.4,36.3,3,806.0,78.5361457215034,13.8,64768.0,6654.0,8804.0,12500.190604540669,1254841.0
302,Maize,Kericho,Automated,No,27.74,22.4,8,976.0,86.65363310186261,12.9,268624.0,105398.0,32882.0,10286.153780787612,482747.0
303,Maize,Kericho,None,Yes,1.62,17.6,0,1211.0,77.06698501426764,15.0,11692.0,5337.0,3319.0,,217605.0
304,Maize,Kiambu,Drip,Yes,3.86,19.4,0,1361.0,55.519831337255916,5.2,21187.0,20001.0,3296.0,31978.474341032575,325002.0
305,Maize,Nakuru,None,Yes,13.21,20.9,3,740.0,73.5643696722014,27.2,111161.0,50958.0,30832.0,,169115.0
306,Dairy,Kericho,Drip,No,3.66,11.9,0,776.0,73.08774167134743,7.7,20125.0,6895.0,4842.0,3410.8280162190986,483221.0
307,Maize,Meru,Automated,No,8.61,21.4,0,973.0,73.10441584142684,18.0,65222.0,18750.0,4784.0,15118.263650972385,369505.0
308,Horticulture,Other,None,No,3.45,12.4,3,704.0,73.5528699850165,5.1,25989.0,13738.0,3222.0,,157433.0
309,Maize,Nakuru,Automated,Yes,19.58,2.4,5,832.0,73.74812058355427,11.4,162896.0,16081.0,23979.0,8594.50306782352,129733.0
310,Dairy,Kericho,None,No,13.24,20.0,5,729.0,100.0,17.9,164954.0,57648.0,5625.0,,302277.0
311,Maize,Kiambu,Drip,No,2.14,7.0,0,1128.0,75.10457929878645,26.1,0.0,6155.0,3249.0,921.6381515689626,203132.0
312,Tea,Nakuru,Manual,Yes,19.83,14.0,8,922.0,70.0093047037877,32.4,213012.0,56355.0,7632.0,1359.5873146482588,531791.0
313,Maize,Other,Automated,No,5.39,22.6,2,1161.0,77.33640501225115,15.7,37799.0,18857.0,2568.0,13722.75057439138,308272.0
314,Maize,Kericho,Automated,No,5.28,16.2,2,981.0,53.81010576319095,15.1,22452.0,15335.0,4765.0,12281.610987605583,408379.0
315,Coffee,Nakuru,None,No,3.62,1.7,1,1024.0,,11.8,39119.0,12826.0,3941.0,,210832.0
316,Dairy,Other,None,Yes,4.26,9.2,0,1503.0,19.199827729645122,9.6,35345.0,20701.0,6746.0,,175888.0
317,Coffee,Kericho,Drip,No,6.19,29.4,2,1017.0,41.74337178512461,1.4,59638.0,24375.0,6928.0,7994.609088863687,361601.0
318,Maize,Uasin Gishu,Manual,No,3.45,22.3,0,945.0,82.1620992652957,7.9,43182.0,8489.0,3958.0,9661.189991243822,227861.0
319,Dairy,Nakuru,Manual,Yes,9.0,23.9,3,1303.0,82.07530542169299,34.8,98925.0,28685.0,19352.0,5453.181064713409,266647.0
320,Coffee,Meru,None,Yes,7.23,3.7,1,778.0,68.45855599244247,45.4,50269.0,29761.0,8901.0,,179971.0
321,Dairy,Uasin Gishu,Drip,Yes,5.58,5.2,3,1461.0,62.58356253516416,2.3,74208.0,17813.0,9750.0,11621.979837563407,304123.0
322,Maize,Uasin Gishu,Manual,Yes,5.15,7.0,2,1042.0,68.53525055931863,15.6,26382.0,15567.0,6855.0,16630.46778901306,223870.0
323,Maize,Uasin Gishu,None,No,9.53,14.3,1,1087.0,57.518358187732645,20.0,70315.0,42202.0,11714.0,,212173.0
324,Horticulture,Kiambu,Drip,No,10.94,22.3,3,935.0,58.36280735330777,52.7,11791.0,26051.0,21212.0,28975.558284745362,225063.0
325,Tea,Kiambu,None,Yes,7.16,8.9,2,1034.0,53.41887421467253,6.1,80451.0,21074.0,7473.0,,165641.0
326,Tea,Uasin Gishu,Manual,Yes,6.82,7.5,2,519.0,83.75029135200413,9.6,61402.0,18656.0,6121.0,4029.951465420202,344901.0
327,Maize,Other,Manual,No,3.13,19.2,0,969.0,50.881226372589815,9.2,33299.0,7191.0,5243.0,5433.5742331349875,173579.0
328,Maize,Other,Manual,No,1.46,10.5,2,1119.0,64.74905770102127,6.2,0.0,3657.0,1548.0,3844.264141043087,194601.0
329,Coffee,Kiambu,None,No,8.2,4.4,1,967.0,83.5943982654455,5.5,35842.0,26286.0,8949.0,,146940.0
330,Tea,Kericho,Drip,No,4.46,35.7,1,1003.0,55.13486225529594,34.5,37281.0,12262.0,6693.0,15798.439814666235,434117.0
331,Horticulture,Nakuru,Automated,Yes,11.65,5.4,4,581.0,42.64676500991554,7.5,115480.0,55286.0,12530.0,19935.260613593906,326558.0
332,Tea,Other,None,No,7.42,8.5,3,940.0,50.79307168593188,9.3,48700.0,27690.0,8350.0,,113294.0
333,Maize,Other,Manual,Yes,12.37,3.1,5,1327.0,32.526524149443325,13.3,144936.0,55734.0,25609.0,13796.141430762442,130540.0
334,Dairy,Nakuru,None,No,1.27,16.4,1,706.0,,12.7,13500.0,4210.0,1216.0,,214408.0
335,Horticulture,Other,Manual,Yes,11.52,9.7,1,1057.0,75.14032938942606,16.1,88057.0,40562.0,13012.0,5853.029415811308,327461.0
336,Tea,Kiambu,None,No,1.29,7.1,0,1465.0,66.90295549143559,17.4,0.0,4190.0,1937.0,,125017.0
337,Dairy,Meru,Drip,No,16.71,6.2,4,1123.0,68.31512942856884,11.8,176331.0,57187.0,38234.0,5729.132100529253,279733.0
338,Coffee,Other,Manual,Yes,5.45,10.5,2,611.0,94.34026296781906,37.1,27130.0,16167.0,7253.0,12387.626472014987,161222.0
339,Coffee,Nakuru,Manual,Yes,3.63,11.5,0,933.0,69.39028462412948,26.6,48559.0,11675.0,5380.0,3422.970129924312,316402.0
340,Maize,Kericho,Automated,Yes,7.75,12.2,2,1018.0,,10.5,88100.0,35441.0,9431.0,3230.1855044957665,358498.0
341,Dairy,Uasin Gishu,None,Yes,9.23,27.6,0,1212.0,46.94413791854356,10.5,58983.0,45418.0,10196.0,,248586.0
342,Maize,Meru,None,No,4.99,18.6,2,696.0,55.65631347945694,2.4,23684.0,13433.0,3387.0,,251711.0
343,Dairy,Uasin Gishu,Drip,Yes,5.68,5.8,2,1183.0,68.81215978228157,24.4,60916.0,18521.0,11560.0,8464.938380627807,204992.0
344,Horticulture,Nakuru,None,Yes,6.54,7.6,3,957.0,69.24374428601105,18.9,46452.0,26823.0,6881.0,,238490.0
345,Horticulture,Uasin Gishu,Drip,Yes,9.94,11.5,3,716.0,39.809107726436736,11.7,72632.0,30546.0,14140.0,15125.62196167202,386508.0
346,Coffee,Uasin Gishu,Manual,Yes,7.4,9.6,2,958.0,96.61894617396518,65.6,27420.0,27607.0,12356.0,9881.63734803022,140940.0
347,Tea,Other,Drip,Yes,13.87,4.1,5,851.0,79.51002131869402,9.5,139234.0,47479.0,27914.0,30410.27431330099,274078.0
348,Maize,Uasin Gishu,Automated,No,4.71,3.0,1,596.0,82.33781221700922,6.5,49189.0,17887.0,9599.0,12638.140337866866,167718.0
349,Dairy,Nakuru,None,Yes,4.71,7.6,1,989.0,94.25179600107427,7.0,60476.0,9594.0,5820.0,,202187.0
350,Coffee,Uasin Gishu,Drip,No,4.84,8.2,0,757.0,,27.6,61162.0,17274.0,7428.0,10443.520843139102,118223.0
351,Maize,Uasin Gishu,None,Yes,5.99,20.8,0,753.0,90.01054112087164,11.6,75634.0,13043.0,11889.0,,275286.0
352,Horticulture,Other,None,Yes,5.44,6.8,2,624.0,33.76960134535257,15.1,34880.0,19310.0,9953.0,,208878.0
353,Horticulture,Other,None,No,3.36,9.8,1,940.0,40.72416512770471,16.9,41957.0,14189.0,2607.0,,181435.0
354,Dairy,Other,None,Yes,4.25,2.9,1,977.0,45.39760105844324,8.6,7340.0,8534.0,6143.0,,152375.0
355,Coffee,Meru,None,No,5.92,9.8,3,1004.0,45.87940613793988,30.4,85297.0,11889.0,10540.0,,150698.0
356,Maize,Meru,None,Yes,2.96,15.1,0,1116.0,,16.2,15326.0,10961.0,3483.0,,227633.0
357,Maize,Kericho,Automated,Yes,7.57,8.7,2,1113.0,62.72850274881912,5.3,79633.0,23502.0,10324.0,10594.019803111541,340148.0
358,Tea,Kiambu,Manual,Yes,5.42,14.6,2,639.0,,9.3,61866.0,28266.0,13051.0,6633.56162902282,257019.0
359,Maize,Other,Drip,Yes,2.38,36.6,1,978.0,,18.9,13862.0,10694.0,1698.0,8210.286814989571,485486.0
360,Horticulture,Uasin Gishu,Automated,Yes,15.62,13.2,4,623.0,56.37232643736418,27.2,111532.0,52991.0,17834.0,5789.022599469985,587863.0
361,Maize,Kericho,None,Yes,5.17,43.0,0,942.0,70.59990272368734,19.4,38060.0,12793.0,10509.0,,434475.0
362,Coffee,Kericho,Automated,Yes,7.0,17.2,1,776.0,66.56605428808574,15.6,35651.0,23062.0,6276.0,13318.050191619503,693661.0
363,Tea,Other,Manual,Yes,1.86,22.1,2,1230.0,38.34265088217505,23.1,0.0,4775.0,3928.0,2938.9172532578445,282247.0
364,Horticulture,Kiambu,None,Yes,1.49,17.8,0,1088.0,54.40592590333959,31.3,5089.0,6983.0,3952.0,,354066.0
365,Coffee,Meru,Manual,Yes,13.42,12.9,2,1373.0,46.72547292339843,6.8,153282.0,51192.0,14663.0,3817.0314999866387,328110.0
366,Dairy,Other,Automated,Yes,14.04,23.6,3,604.0,,3.7,123515.0,47800.0,28492.0,15789.100538188539,389987.0
367,Tea,Uasin Gishu,Manual,Yes,1.29,7.3,0,967.0,59.928250214385784,24.7,3988.0,3807.0,2138.0,13268.022555014757,385765.0
368,Coffee,Other,Manual,Yes,3.96,15.9,0,791.0,65.90038979018333,8.3,55080.0,13480.0,2825.0,7726.388245914766,215249.0
369,Maize,Meru,Drip,No,7.62,13.5,0,676.0,73.948443858849,1.5,43142.0,26154.0,11525.0,2565.2769184501767,233799.0
370,Dairy,Other,Drip,Yes,10.03,6.7,1,1448.0,56.38639525131144,9.5,68967.0,32606.0,21032.0,7127.788782933379,297971.0
371,Coffee,Other,Manual,No,6.68,30.2,1,814.0,83.83970605552938,10.1,74928.0,15403.0,11245.0,9310.748964224427,325172.0
372,Horticulture,Other,Automated,No,2.76,8.1,0,647.0,82.73495298602873,22.8,22919.0,7951.0,5670.0,13725.642588358187,218024.0
373,Tea,Meru,Manual,No,6.75,4.0,1,1047.0,84.66290265651295,22.8,28039.0,17989.0,11064.0,9115.500337892237,112268.0
374,Horticulture,Meru,Automated,Yes,6.81,15.0,2,1104.0,46.45340599259774,51.0,68437.0,42053.0,9728.0,13512.746211966027,443432.0
375,Dairy,Nakuru,None,Yes,5.65,27.0,2,1111.0,76.24076169204818,14.9,34409.0,15410.0,7818.0,,343348.0
376,Horticulture,Kiambu,Manual,No,5.23,15.0,1,818.0,76.07260901705042,5.8,77231.0,20321.0,5373.0,22832.93744935336,190572.0
377,Maize,Meru,Manual,Yes,9.67,6.7,3,895.0,49.74621548214536,32.0,84891.0,35055.0,6781.0,20395.688787614545,226423.0
378,Horticulture,Nakuru,Manual,No,3.23,2.0,0,1012.0,87.86463644902823,26.2,16075.0,12777.0,4336.0,32682.20807803003,187360.0
379,Maize,Nakuru,Automated,No,4.45,8.5,0,814.0,81.60551393160583,3.2,29783.0,18943.0,7534.0,15570.045675666292,124557.0
380,Maize,Kiambu,Manual,Yes,3.21,9.2,2,750.0,42.174188497222474,5.1,54222.0,10901.0,1622.0,9398.660163613436,163812.0
381,Maize,Kiambu,Automated,No,11.33,4.3,5,835.0,65.49803217763657,8.2,114402.0,49815.0,16305.0,22748.57105912363,278269.0
382,Maize,Other,Manual,Yes,24.59,36.5,6,1000.0,75.61361912529817,2.4,184805.0,75935.0,23117.0,3460.708977540114,387265.0
383,Dairy,Nakuru,Automated,No,5.43,23.6,2,718.0,41.89676631259826,16.1,83704.0,16450.0,5765.0,10719.633287944243,561419.0
384,Coffee,Kericho,Automated,Yes,5.5,20.9,2,661.0,,4.2,47412.0,10792.0,5018.0,3593.195399968337,626246.0
385,Maize,Meru,Manual,Yes,8.63,12.4,3,582.0,78.91655480427285,20.9,74123.0,36208.0,15724.0,20764.40500211107,180489.0
386,Horticulture,Kericho,None,No,12.61,8.2,3,1447.0,,19.5,121291.0,52606.0,12187.0,,202606.0
387,Dairy,Uasin Gishu,None,Yes,7.4,40.8,4,935.0,54.685738767117186,4.6,57197.0,10181.0,11030.0,,350697.0
388,Horticulture,Kericho,Manual,No,2.87,10.2,2,1314.0,75.39215893069647,24.8,12531.0,9066.0,2791.0,4128.365871547742,128025.0
389,Coffee,Uasin Gishu,None,No,7.57,4.2,2,873.0,61.584926318320846,8.7,106132.0,18719.0,10892.0,,183816.0
390,Maize,Other,Manual,Yes,13.6,18.0,4,1103.0,75.3361305196974,17.3,110053.0,44136.0,23135.0,3362.893500043562,427686.0
391,Dairy,Nakuru,None,No,1.52,24.8,0,679.0,91.20400775474474,6.7,0.0,6146.0,1414.0,,285207.0
392,Horticulture,Nakuru,Drip,No,2.9,14.5,1,1061.0,31.555217666131732,40.3,16777.0,9172.0,4196.0,2522.1456495884618,193552.0
393,Maize,Kiambu,Drip,No,3.74,5.5,3,530.0,57.82532874485329,31.7,63963.0,12753.0,5460.0,7639.650854550537,150030.0
394,Dairy,Other,Drip,Yes,5.21,33.7,1,1246.0,82.1413494748413,3.8,24846.0,25828.0,3082.0,31751.52748782986,506303.0
395,Maize,Kiambu,None,Yes,5.24,3.1,1,852.0,61.9388027370864,21.4,81166.0,16670.0,4718.0,,164921.0
